FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
1;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0036454521041689664;2.477319708086639e-7
2;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.0061637092805661865;7.450577240146931e-7
3;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.0076101378765689445;0.0000023953628254528193
4;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.030008050013647036;0.0000069104148961390224
5;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.011782108499005432;0.0000015571724662961299
6;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003784180000025117;8.940697937135869e-7
7;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005558535755349412;0.0000014100217504627078
8;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.006326858073309188;0.000002035871222476999
9;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012122523795979835;0.0000066775848951671215
10;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.016758084508846315;0.000007901337896408119
11;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0077269862351494216;0.0000012740487708561295
12;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.008930941182705803;0.00000327452878768489
13;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00497019160225767;0.0000010561198243944927
14;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590400884938415;5.085019941421981e-7
15;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01802082248235975;0.000016659498184140138
16;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005083675924073275;0.000001091509992617533
17;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.08695606557049547;0.00011738575649970775
18;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02718283613193392;0.000014081597953665484
19;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005024227930790515;0.0000010505319175887825
20;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.003329095527459358;5.327163181342922e-7
21;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01187244758119949;0.000008430331476232075
22;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.012451169999849299;0.000009451058324582031
23;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003182246734995846;4.80562215819604e-7
24;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011762860698725033;0.000005422157444895463
25;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.008075878075921921;0.0000037942082433405906
26;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034539999917712083;5.699695186309206e-7
27;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0023341452814458655;2.2537954998455865e-7
28;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.016215548477871176;0.00001582689847851038
29;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.004882100037213635;0.0000012665987777615194
30;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.005402115584978882;0.0000018998965949995632
31;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.010932806751772009;0.000006537885606689833
32;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.003479329156384987;5.811453628653362e-7
33;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0033290954453314738;5.327163181117407e-7
34;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012019210536749772;0.00000806897806171836
35;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.011097058229853714;0.0000019744034538416846
36;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00390625;9.53674316406e-7
37;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02339659655918465;0.000018987802557107325
38;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0005568307220494035;7.450572972784863e-9
39;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.03959122381595728;0.00004182383412383589
40;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.016235349999988102;0.000014588232307287315
41;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005126951999955054;0.0000014603131560862052
42;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.05742662811074318;0.00004790164272227563
43;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003259040088420817;5.085019941196466e-7
44;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.1504469933582471;0.00043600238673299405
45;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01109178138534219;0.000006526710403461622
46;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.009899179525392595;0.000005688519128787115
47;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.007859430819989091;0.000002745538564732912
48;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0033792989225705523;5.457547979440122e-7
49;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.01982944739758854;0.000008519737985711008
50;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003522552737566968;5.941838731922335e-7
51;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032365781594978827;5.029140873156711e-7
52;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006804361518199976;0.0000016111882276525318
53;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01697447910424763;0.000008281321115506546
54;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04017819438128343;0.000052364546854534965
55;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.04169932751815373;0.000037316231771458586
56;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.019612277289097424;0.000014277175639110908
57;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.020474087852241047;0.00002809055336291956
58;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.09627694675791496;0.0002621579821967354
59;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0905154985900568;0.00008983910018098102
60;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0516681504380439;0.00006885266944063088
61;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00519772287828615;0.0000011269005574590596
62;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01049804799993126;0.000006884337966826858
63;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.014657171434546905;0.00000643730252061774
64;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.023193358000071385;0.000010166312170365211
65;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.013553853461026746;0.000007852913032468
66;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.09592340138403796;0.00019165687743071048
67;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02184257706278728;0.00002971664084428981
68;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.003479329156384987;5.811453628653362e-7
69;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01689108396484018;0.000008597972679156599
70;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.04336502720513059;0.00006374902546217579
71;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.08584789439300963;0.0001873150454976167
72;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01976703114576243;0.000019025056825715095
73;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.015648197426348914;0.000007258727419844206
74;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.04072110474942083;0.00003261863420855341
75;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034539983648974094;5.699689388238692e-7
76;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.07818072143797661;0.00021350012064558736
77;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.030471367090105533;0.000027393922821887076
78;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003540039999961664;7.823113517580073e-7
79;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0048176621565821295;9.89064759270758e-7
80;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003479329156384987;5.811453628653362e-7
81;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003182246734913547;4.80562215800522e-7
82;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04782733825348059;0.00008186511897779485
83;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006697591870540195;0.0000015217809247787653
84;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.020920555996752386;0.000019224359995746752
85;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034539999918671814;5.699695186621456e-7
86;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.005335887516406086;6.016348123709109e-7
87;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0050333221343533815;0.0000010672956685612543
88;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0202333927512306;0.000023880973654839464
89;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.032114849243797546;0.00005197525247199758
90;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04228861118945664;0.00007655285645404533
91;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.0011355932088853381;4.470359039013568e-8
92;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.013755078142976267;0.000008393078885950387
93;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034179699999867807;7.152562255808362e-7
94;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.004990156819327466;0.0000010412187090216113
95;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.045321896383078715;0.00009131245373996198
96;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005322293705636917;0.0000011995437431358803
97;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.03853568586068911;0.00005852244191853697
98;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.024142394787634525;0.00003714673556214941
99;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.08476078791190972;0.00005303694741633568
100;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.03161520646452915;0.00003587641032323264
101;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.018148745479073143;0.000008337201252073278
102;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793291563377676;5.811453628531933e-7
103;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003533056775900792;5.923205967096039e-7
104;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.013894018565236128;0.000004997475426643985
105;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.012331981490330681;0.000008251518274327268
106;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.12026267765913826;0.00041268393632678385
107;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011617837645104354;0.000006847082660663784
108;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.08246364591669697;0.0003200918403855734
109;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003259040088517081;5.085019941474022e-7
110;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.09030448371271571;0.0002744533089657549
111;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005139757092608533;0.0000011138620777239328
112;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0031822467348968644;4.805622157918483e-7
113;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793291563377676;5.811453628531931e-7
114;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.10762750836815511;0.00035546160143220737
115;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.2500334266705085;0.0007531065519051785
116;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.10984453673040387;0.0002455245679602245
117;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.012573242000030405;0.000009670853477517616
118;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.04599964862146939;0.00006768294214895401
119;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006938362792346235;0.0000017508861122043264
120;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.016706076324185574;0.000016005707835232678
121;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;sedang;0.01207976120000753;0.000005653130455871597
122;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.08472753122296517;0.00013240985445136036
123;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.034515102735364886;0.000049404798785813126
124;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.20253342514621503;0.0007478818310896574
125;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.026900725042219135;0.00001720525325677394
126;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011138255778556969;0.000004312024575257907
127;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034539999919144322;5.699695186742886e-7
128;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.014404298000044946;0.000012967737554630927
129;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.02754828421141561;0.00002059713022416555
